index,Date,AverageTemperature,AverageTemperatureUncertainty
628,5/1/1952,21.923,0.135
629,6/1/1952,27.817,0.177
630,7/1/1952,28.003,0.209
631,8/1/1952,26.616,0.191
632,9/1/1952,22.379,0.142
633,10/1/1952,14.349,0.185
634,11/1/1952,11.354,0.135
635,12/1/1952,7.679,0.088
636,1/1/1953,9.709,0.156
637,2/1/1953,9.626,0.127
638,3/1/1953,14.707,0.096
639,4/1/1953,15.922,0.162
640,5/1/1953,23.291,0.19
641,6/1/1953,27.018,0.182
642,7/1/1953,26.499,0.079
643,8/1/1953,26.201,0.135
644,9/1/1953,23.244,0.147
645,10/1/1953,18.471,0.233
646,11/1/1953,11.415,0.137
647,12/1/1953,7.168,0.082
648,1/1/1954,8.488,0.198
649,2/1/1954,11.323,0.196
650,3/1/1954,12.383,0.249
651,4/1/1954,19.637,0.18
652,5/1/1954,19.067,0.225
653,6/1/1954,26.146,0.201
654,7/1/1954,28.143,0.129
655,8/1/1954,28.545,0.113
656,9/1/1954,25.679,0.21
657,10/1/1954,18.48,0.154
658,11/1/1954,10.772,0.146
659,12/1/1954,7.269,0.133
660,1/1/1955,6.922,0.186
661,2/1/1955,9.648,0.155
662,3/1/1955,14.891,0.079
663,4/1/1955,18.988,0.1
664,5/1/1955,22.994,0.237
665,6/1/1955,23.098,0.109
666,7/1/1955,26.73,0.164
667,8/1/1955,26.987,0.26
668,9/1/1955,24.97,0.246
669,10/1/1955,16.811,0.223
670,11/1/1955,11.344,0.271
671,12/1/1955,7.967,0.139
672,1/1/1956,5.938,0.166
673,2/1/1956,12.08,0.138
674,3/1/1956,12.751,0.15
675,4/1/1956,16.249,0.183
676,5/1/1956,22.994,0.253
677,6/1/1956,24.695,0.134
678,7/1/1956,26.666,0.133
679,8/1/1956,26.895,0.182
680,9/1/1956,22.476,0.131
681,10/1/1956,18.495,0.184
682,11/1/1956,10.925,0.246
683,12/1/1956,12.456,0.284
684,1/1/1957,9.258,0.187
685,2/1/1957,13.635,0.231
686,3/1/1957,11.752,0.244
687,4/1/1957,18.335,0.37
688,5/1/1957,22.206,0.186
689,6/1/1957,25.788,0.438
690,7/1/1957,26.702,0.409
691,8/1/1957,26.42,0.692
692,9/1/1957,23.404,0.493
693,10/1/1957,15.411,0.416
694,11/1/1957,13.065,0.259
695,12/1/1957,8.865,0.32
696,1/1/1958,4.574,0.347
697,2/1/1958,3.741,0.249
698,3/1/1958,10.8,0.14
699,4/1/1958,17.403,0.225
700,5/1/1958,21.695,0.308
701,6/1/1958,25.615,0.326
702,7/1/1958,26.392,0.395
703,8/1/1958,26.204,0.274
704,9/1/1958,24.082,0.191
705,10/1/1958,16.911,0.183
706,11/1/1958,13.59,0.181
707,12/1/1958,6.241,0.137
